route_id,shape_pt_lat,shape_pt_lon
1,40.7004045309,-73.3253778394,24
1,40.7001948454,-73.3260444015,24
1,40.699980926,-73.3267086707,24
1,40.6997721482,-73.3273756097,24
1,40.6995844627,-73.3280533541,24
1,40.6994003543,-73.3287328616,24
1,40.6992154018,-73.3294119736,24
1,40.699030688,-73.3300911961,24
1,40.6988459326,-73.3307703972,24
1,40.6986611194,-73.3314495693,24
1,40.698475953,-73.3321285733,24
1,40.6982904383,-73.3328074114,24
1,40.6981051357,-73.3334863475,24
1,40.6979200807,-73.3341653983,24
1,40.6977349568,-73.3348444149,24
1,40.6975497241,-73.3355233784,24
1,40.6973644861,-73.3362023374,24
1,40.6971792175,-73.3368812802,24
1,40.6969938515,-73.3375601752,24
1,40.6968084734,-73.3382390626,24
1,40.6966233807,-73.3389180824,24
1,40.6964387626,-73.3395973235,24
1,40.6962541472,-73.3402765639,24
1,40.6960694792,-73.3409557778,24
1,40.6958845412,-73.341634863,24
1,40.6956991324,-73.3423137241,24
1,40.6955143867,-73.3429928933,24
1,40.695329757,-73.3436721163,24
1,40.6951463216,-73.3443518955,24
1,40.6949620012,-73.3450312602,24
1,40.694778683,-73.3457110916,24
1,40.6945957881,-73.3463911182,24
1,40.6944129852,-73.3470711855,24
1,40.6942301348,-73.347751229,24
1,40.6940472302,-73.3484312455,24
1,40.6938648296,-73.3491114932,24
1,40.6936830512,-73.349792027,24
1,40.6935010884,-73.3504724738,24
1,40.6933185862,-73.3511526694,24
1,40.693136046,-73.3518328456,24
1,40.6929536811,-73.352513101,24
1,40.6927714452,-73.3531934143,24
1,40.6925891689,-73.353873707,24
1,40.6924067916,-73.3545539511,24
1,40.6922244009,-73.3552341873,24
1,40.6920414453,-73.3559141592,24
1,40.6918580867,-73.3565939424,24
1,40.6916737475,-73.3572732625,24
1,40.6914872216,-73.3579515526,24
1,40.6913009001,-73.3586299378,24
1,40.6911151053,-73.3593085706,24
1,40.6909292578,-73.3599871767,24
1,40.6907433401,-73.3606657476,24
1,40.6905548835,-73.3613430995,24
1,40.6903644357,-73.3620194949,24
1,40.6901714411,-73.3626946287,24
