"from_stop_id","to_stop_id","from_trip_id","to_trip_id","transfer_type","min_transfer_time"
"102","102","","","2","300"
"102","102","GO304_25_2306","GO304_25_2","1",""
"102","102","GO304_25_2702","GO304_25_2","1",""
"102","102","GO304_25_814","GO304_25_4","1",""
"102","102","GO304_25_1612","GO304_25_4","1",""
"102","102","GO304_25_1294","GO304_25_8","1",""
"102","102","GO304_25_1524","GO304_25_8","1",""
"102","102","GO304_25_170","GO304_25_18","1",""
"102","102","GO304_25_2064","GO304_25_18","1",""
"102","102","GO304_25_770","GO304_25_22","1",""
"102","102","GO304_25_1064","GO304_25_22","1",""
"102","102","GO304_25_1064_1","GO304_25_22","1",""
"102","102","GO304_25_1978","GO304_25_26","1",""
"102","102","GO304_25_2784","GO304_25_26","1",""
"27","27","GO304_25_31","GO304_25_217","1",""
"27","27","GO304_25_196","GO304_25_32","1",""
"27","27","GO304_25_196_1","GO304_25_32","1",""
"27","27","GO304_25_196","GO304_25_32_1","1",""
"27","27","GO304_25_196_1","GO304_25_32_1","1",""
"27","27","GO304_25_136","GO304_25_36","1",""
"27","27","GO304_25_148","GO304_25_38","1",""
"27","27","GO304_25_168","GO304_25_40","1",""
"27","27","GO304_25_41","GO304_25_133","1",""
"102","102","GO304_25_1660","GO304_25_42","1",""
"27","27","GO304_25_43","GO304_25_167","1",""
"102","102","GO304_25_272","GO304_25_44","1",""
"27","27","GO304_25_180","GO304_25_46","1",""
"102","102","GO304_25_192","GO304_25_48","1",""
"102","102","GO304_25_2788","GO304_25_48","1",""
"102","102","GO304_25_290","GO304_25_48_1","1",""
"102","102","GO304_25_1588","GO304_25_48_1","1",""
"27","27","GO304_25_120","GO304_25_56","1",""
"27","27","GO304_25_57","GO304_25_229","1",""
"27","27","GO304_25_124","GO304_25_58","1",""
"27","27","GO304_25_59","GO304_25_139","1",""
"27","27","GO304_25_128","GO304_25_60","1",""
"27","27","GO304_25_61","GO304_25_143","1",""
"102","102","GO304_25_716","GO304_25_62","1",""
"102","102","GO304_25_1916","GO304_25_62","1",""
"27","27","GO304_25_63","GO304_25_147","1",""
"27","27","GO304_25_132","GO304_25_64","1",""
"27","27","GO304_25_67","GO304_25_155","1",""
"27","27","GO304_25_144","GO304_25_68","1",""
"27","27","GO304_25_69","GO304_25_163","1",""
"27","27","GO304_25_71","GO304_25_171","1",""
"27","27","GO304_25_73","GO304_25_177","1",""
"27","27","GO304_25_152","GO304_25_74","1",""
"27","27","GO304_25_75","GO304_25_181","1",""
"102","102","GO304_25_162","GO304_25_76","1",""
"102","102","GO304_25_754","GO304_25_76","1",""
"27","27","GO304_25_77","GO304_25_185","1",""
"27","27","GO304_25_164","GO304_25_78","1",""
"102","102","GO304_25_760","GO304_25_80","1",""
"102","102","GO304_25_1970","GO304_25_80","1",""
"27","27","GO304_25_268","GO304_25_82","1",""
"27","27","GO304_25_188","GO304_25_84","1",""
"27","27","GO304_25_188_1","GO304_25_84","1",""
"27","27","GO304_25_32_1","GO304_25_196","1",""
"27","27","GO304_25_32_1","GO304_25_196_1","1",""
"102","102","GO304_25_102","GO304_25_502","1",""
"102","102","GO304_25_702","GO304_25_502","1",""
"102","102","GO304_25_102","GO304_25_502_1","1",""
"102","102","GO304_25_702","GO304_25_502_1","1",""
"102","102","GO304_25_220","GO304_25_508","1",""
"102","102","GO304_25_1912","GO304_25_508","1",""
"102","102","GO304_25_814","GO304_25_510","1",""
"102","102","GO304_25_2014","GO304_25_510","1",""
"102","102","GO304_25_130","GO304_25_512","1",""
"102","102","GO304_25_1614","GO304_25_512","1",""
"102","102","GO304_25_722","GO304_25_516","1",""
"102","102","GO304_25_1522","GO304_25_516","1",""
"102","102","GO304_25_724","GO304_25_550","1",""
"102","102","GO304_25_1526","GO304_25_550","1",""
"102","102","GO304_25_750","GO304_25_552","1",""
"102","102","GO304_25_1552","GO304_25_552","1",""
"102","102","GO304_25_162","GO304_25_556","1",""
"102","102","GO304_25_1754","GO304_25_556","1",""
"102","102","GO304_25_860","GO304_25_558","1",""
"102","102","GO304_25_1150","GO304_25_558","1",""
"102","102","GO304_25_170","GO304_25_560","1",""
"102","102","GO304_25_2064","GO304_25_560","1",""
"102","102","GO304_25_268","GO304_25_562","1",""
"102","102","GO304_25_1060","GO304_25_562","1",""
"102","102","GO304_25_272","GO304_25_566","1",""
"102","102","GO304_25_876","GO304_25_568","1",""
"102","102","GO304_25_1572","GO304_25_568","1",""
"102","102","GO304_25_882","GO304_25_570","1",""
"102","102","GO304_25_1670","GO304_25_570","1",""
"102","102","GO304_25_784","GO304_25_574","1",""
"102","102","GO304_25_1586","GO304_25_574","1",""
"102","102","GO304_25_786","GO304_25_576","1",""
"102","102","GO304_25_1988","GO304_25_576","1",""
"102","102","GO304_25_1988_1","GO304_25_576","1",""
