route_id,shape_pt_lat,shape_pt_lon
3,40.75339,-73.97719,2
3,40.75362,-73.97701,2
3,40.75386,-73.97682,2
3,40.75409,-73.97664,2
3,40.75433,-73.97646,2
3,40.75457,-73.97627,2
3,40.7548,-73.97608,2
3,40.75504,-73.9759,2
3,40.75528,-73.97572,2
3,40.75551,-73.97553,2
3,40.75574,-73.97535,2
3,40.75598,-73.97517,2
3,40.75622,-73.97498,2
3,40.75645,-73.97479,2
3,40.75669,-73.97461,2
3,40.75693,-73.97443,2
3,40.75716,-73.97424,2
3,40.7574,-73.97406,2
3,40.75763,-73.97387,2
3,40.75787,-73.97369,2
3,40.75811,-73.9735,2
3,40.75834,-73.97332,2
3,40.75858,-73.97314,2
3,40.75882,-73.97295,2
3,40.75905,-73.97276,2
3,40.75929,-73.97258,2
3,40.75952,-73.9724,2
3,40.75976,-73.97221,2
3,40.75999,-73.97203,2
3,40.76023,-73.97185,2
3,40.76047,-73.97166,2
3,40.7607,-73.97147,2
3,40.76094,-73.97129,2
3,40.76118,-73.97111,2
3,40.76141,-73.97092,2
3,40.76165,-73.97074,2
3,40.76189,-73.97057,2
3,40.76213,-73.97039,2
3,40.76237,-73.97021,2
3,40.76261,-73.97004,2
3,40.76285,-73.96987,2
3,40.76309,-73.9697,2
3,40.76333,-73.96952,2
3,40.76357,-73.96935,2
3,40.76381,-73.96917,2
3,40.76405,-73.96899,2
3,40.76429,-73.96882,2
3,40.76453,-73.96864,2
3,40.76477,-73.96847,2
3,40.76501,-73.96829,2
3,40.76525,-73.96812,2
3,40.76549,-73.96794,2
3,40.76573,-73.96777,2
3,40.76597,-73.96759,2
3,40.76621,-73.96741,2
3,40.76645,-73.96724,2
3,40.76669,-73.96706,2
3,40.76693,-73.96689,2
3,40.76717,-73.96671,2
3,40.76741,-73.96654,2
3,40.76765,-73.96636,2
3,40.76789,-73.96619,2
3,40.76813,-73.96602,2
3,40.76837,-73.96584,2
3,40.76861,-73.96567,2
3,40.76885,-73.96549,2
3,40.76909,-73.96532,2
3,40.76933,-73.96514,2
3,40.76957,-73.96497,2
3,40.76981,-73.96479,2
3,40.77005,-73.96461,2
3,40.77029,-73.96444,2
3,40.77053,-73.96426,2
3,40.77077,-73.96409,2
3,40.77102,-73.96391,2
3,40.77126,-73.96374,2
3,40.7715,-73.96356,2
3,40.77174,-73.96339,2
3,40.77198,-73.96321,2
3,40.77222,-73.96304,2
3,40.77246,-73.96286,2
3,40.77269,-73.96268,2
3,40.77293,-73.96252,2
3,40.77317,-73.96234,2
3,40.77341,-73.96217,2
3,40.77365,-73.96199,2
3,40.7739,-73.96181,2
3,40.77414,-73.96164,2
3,40.77438,-73.96146,2
3,40.77462,-73.96129,2
3,40.77486,-73.96111,2
3,40.7751,-73.96094,2
3,40.77534,-73.96076,2
3,40.77558,-73.96059,2
3,40.77582,-73.96041,2
3,40.77606,-73.96024,2
3,40.7763,-73.96006,2
3,40.77654,-73.95988,2
3,40.77678,-73.95971,2
3,40.77702,-73.95953,2
3,40.77726,-73.95936,2
3,40.7775,-73.95918,2
3,40.77774,-73.95901,2
3,40.77798,-73.95883,2
3,40.77822,-73.95866,2
3,40.77846,-73.95848,2
3,40.7787,-73.95831,2
3,40.77894,-73.95813,2
3,40.77918,-73.95795,2
3,40.77942,-73.95778,2
3,40.77966,-73.95761,2
3,40.7799,-73.95744,2
3,40.78014,-73.95726,2
3,40.78038,-73.95708,2
3,40.78062,-73.95691,2
3,40.78086,-73.95673,2
3,40.7811,-73.95656,2
3,40.78134,-73.95638,2
3,40.78158,-73.95621,2
3,40.78182,-73.95603,2
3,40.78206,-73.95586,2
3,40.7823,-73.95568,2
3,40.78254,-73.95551,2
3,40.78278,-73.95533,2
3,40.78302,-73.95515,2
3,40.78326,-73.95498,2
3,40.7835,-73.9548,2
3,40.78374,-73.95463,2
3,40.78398,-73.95445,2
3,40.78422,-73.95428,2
3,40.78446,-73.9541,2
3,40.7847,-73.95393,2
3,40.78494,-73.95375,2
3,40.78518,-73.95358,2
3,40.78542,-73.9534,2
3,40.78566,-73.95322,2
3,40.7859,-73.95305,2
3,40.78614,-73.95287,2
3,40.78638,-73.95271,2
3,40.78662,-73.95253,2
3,40.78686,-73.95235,2
3,40.7871,-73.95218,2
3,40.78734,-73.952,2
3,40.78758,-73.95183,2
3,40.78782,-73.95165,2
3,40.78806,-73.95148,2
3,40.7883,-73.9513,2
3,40.78854,-73.95113,2
3,40.78878,-73.95095,2
3,40.78902,-73.95078,2
3,40.78926,-73.9506,2
3,40.7895,-73.95042,2
3,40.78974,-73.95025,2
3,40.78998,-73.95007,2
3,40.79022,-73.9499,2
3,40.79046,-73.94972,2
3,40.7907,-73.94955,2
3,40.79094,-73.94937,2
3,40.79118,-73.9492,2
3,40.79142,-73.94902,2
3,40.79166,-73.94884,2
3,40.7919,-73.94867,2
3,40.79214,-73.94849,2
3,40.79238,-73.94832,2
3,40.79262,-73.94814,2
3,40.79286,-73.94797,2
3,40.7931,-73.94779,2
3,40.79334,-73.94762,2
3,40.79358,-73.94744,2
3,40.79382,-73.94727,2
3,40.79406,-73.94709,2
3,40.7943,-73.94691,2
3,40.79454,-73.94674,2
3,40.79478,-73.94656,2
3,40.79502,-73.94639,2
3,40.79526,-73.94622,2
3,40.7955,-73.94604,2
3,40.79574,-73.94587,2
3,40.79599,-73.94569,2
3,40.79623,-73.94552,2
3,40.79647,-73.94534,2
3,40.79671,-73.94517,2
3,40.79695,-73.94499,2
3,40.79719,-73.94482,2
3,40.79742,-73.94464,2
3,40.79766,-73.94447,2
3,40.7979,-73.94429,2
3,40.79815,-73.94412,2
3,40.79839,-73.94395,2
3,40.79863,-73.94377,2
3,40.79887,-73.9436,2
3,40.79911,-73.94342,2
3,40.79935,-73.94324,2
3,40.79959,-73.94307,2
