route_id,shape_pt_lat,shape_pt_lon
1,39.363299,-74.441486,0
1,39.366740,-74.454366,0
1,39.367160,-74.456252,0
1,39.367190,-74.456426,0
1,39.367943,-74.460838,0
1,39.368080,-74.461478,0
1,39.368269,-74.462101,0
1,39.368508,-74.462692,0
1,39.368793,-74.463246,0
1,39.369081,-74.463702,0
1,39.370125,-74.465216,0
1,39.370412,-74.465544,0
1,39.370588,-74.465787,0
1,39.387232,-74.490237,0
1,39.388290,-74.491645,0
1,39.389460,-74.492908,0
1,39.390723,-74.494003,0
1,39.392069,-74.494924,0
1,39.393480,-74.495657,0
1,39.394075,-74.495902,0
1,39.394398,-74.496024,0
1,39.396215,-74.496588,0
1,39.398067,-74.496900,0
1,39.399618,-74.496973,0
1,39.413432,-74.496818,0
1,39.415098,-74.496897,0
1,39.416748,-74.497200,0
1,39.418364,-74.497726,0
1,39.419929,-74.498462,0
1,39.421425,-74.499411,0
1,39.422836,-74.500552,0
1,39.424149,-74.501879,0
1,39.424322,-74.502094,0
1,39.424327,-74.502101,0
1,39.425347,-74.503376,0
1,39.425464,-74.503542,0
1,39.446817,-74.533878,0
1,39.526449,-74.648021,0
1,39.526545,-74.648159,0
1,39.631656,-74.799478,0
1,39.631670,-74.799499,0
1,39.666488,-74.849792,0
1,39.667280,-74.850820,0
1,39.668148,-74.851738,0
1,39.669085,-74.852531,0
1,39.670083,-74.853193,0
1,39.671130,-74.853715,0
1,39.672209,-74.854096,0
1,39.673316,-74.854326,0
1,39.674437,-74.854404,0
1,39.675555,-74.854335,0
1,39.676662,-74.854110,0
1,39.677747,-74.853739,0
1,39.678794,-74.853222,0
1,39.679479,-74.852791,0
1,39.690399,-74.845302,0
1,39.691964,-74.844360,0
1,39.693594,-74.843636,0
1,39.695277,-74.843136,0
1,39.696987,-74.842868,0
1,39.698711,-74.842834,0
1,39.700429,-74.843029,0
1,39.701010,-74.843149,0
1,39.706907,-74.844512,0
1,39.708356,-74.844971,0
1,39.709765,-74.845621,0
1,39.711110,-74.846457,0
1,39.711461,-74.846714,0
1,39.752012,-74.877388,0
1,39.753050,-74.878087,0
1,39.769895,-74.888142,0
1,39.771407,-74.889215,0
1,39.772824,-74.890488,0
1,39.774128,-74.891946,0
1,39.775312,-74.893575,0
1,39.775863,-74.894466,0
1,39.783618,-74.907709,0
1,39.804666,-74.943688,0
1,39.805455,-74.945244,0
1,39.806115,-74.946896,0
1,39.806400,-74.947777,0
1,39.809009,-74.956458,0
1,39.810050,-74.960019,0
1,39.810716,-74.962000,0
1,39.811538,-74.963880,0
1,39.812506,-74.965640,0
1,39.812939,-74.966318,0
1,39.817718,-74.973451,0
1,39.820444,-74.977585,0
1,39.821055,-74.978646,0
1,39.830581,-74.996641,0
1,39.831449,-74.997895,0
1,39.832414,-74.999027,0
1,39.833463,-75.000021,0
1,39.833757,-75.000239,0
1,39.833820,-75.000289,0
1,39.834590,-75.000868,0
1,39.835779,-75.001559,0
1,39.836371,-75.001835,0
1,39.850998,-75.008035,0
1,39.852522,-75.008587,0
1,39.854078,-75.008928,0
1,39.855643,-75.009059,0
1,39.863949,-75.009190,0
1,39.865368,-75.009403,0
1,39.865472,-75.009425,0
1,39.866319,-75.009573,0
1,39.867730,-75.009921,0
1,39.869109,-75.010455,0
1,39.870090,-75.010971,0
1,39.870123,-75.010989,0
1,39.871657,-75.012009,0
1,39.872452,-75.012650,0
1,39.872531,-75.012718,0
1,39.873915,-75.014052,0
1,39.875184,-75.015568,0
1,39.876321,-75.017248,0
1,39.876960,-75.018367,0
1,39.879533,-75.023210,0
1,39.880338,-75.024525,0
1,39.881243,-75.025723,0
1,39.881300,-75.025791,0
1,39.884583,-75.029657,0
1,39.885367,-75.030477,0
1,39.886211,-75.031185,0
1,39.887107,-75.031776,0
1,39.888047,-75.032242,0
1,39.888137,-75.032278,0
1,39.892870,-75.034198,0
1,39.894226,-75.034815,0
1,39.894911,-75.035209,0
1,39.900107,-75.038413,0
1,39.901132,-75.039094,0
1,39.902093,-75.039907,0
1,39.902691,-75.040515,0
1,39.903973,-75.041914,0
1,39.904330,-75.042247,0
1,39.904710,-75.042523,0
1,39.905113,-75.042753,0
1,39.905530,-75.042921,0
1,39.905957,-75.043037,0
1,39.906393,-75.043091,0
1,39.906768,-75.043088,0
1,39.928447,-75.041661,0
1,39.934914,-75.041235,0
1,39.935758,-75.041123,0
1,39.950758,-75.038097,0
1,39.951616,-75.037985,0
1,39.952479,-75.037986,0
1,39.953334,-75.038110,0
1,39.954038,-75.038297,0
1,39.954948,-75.038595,0
1,39.955194,-75.038696,0
1,39.955433,-75.038825,0
1,39.955647,-75.038979,0
1,39.966621,-75.047822,0
1,39.969427,-75.050431,0
1,39.972006,-75.053401,0
1,39.973609,-75.055604,0
1,39.977766,-75.061796,0
1,39.986220,-75.074391,0
1,39.987319,-75.075868,0
1,39.988530,-75.077183,0
1,39.989053,-75.077671,0
1,39.995734,-75.083608,0
1,39.996682,-75.084552,0
1,39.997548,-75.085616,0
1,39.998324,-75.086792,0
1,39.999003,-75.088067,0
1,39.999573,-75.089428,0
1,40.000033,-75.090860,0
1,40.000349,-75.092209,0
1,40.001530,-75.098301,0
1,40.004884,-75.123747,0
1,40.005117,-75.126344,0
1,40.005141,-75.128963,0
1,40.004958,-75.131567,0
1,40.004563,-75.134131,0
1,40.003966,-75.136629,0
1,40.003259,-75.138798,0
1,39.994558,-75.162293,0
1,39.993986,-75.163654,0
1,39.993827,-75.163971,0
1,39.987058,-75.177421,0
1,39.986354,-75.178674,0
1,39.986176,-75.178952,0
1,39.977903,-75.191456,0
1,39.976722,-75.193414,0
1,39.973017,-75.197614,0
1,39.972505,-75.197955,0
1,39.969518,-75.196833,0
1,39.968594,-75.196490,0
1,39.966920,-75.191055,0
1,39.966668,-75.189845,0
1,39.966578,-75.189491,0
1,39.966462,-75.189151,0
1,39.966317,-75.188829,0
1,39.966147,-75.188527,0
1,39.965955,-75.188248,0
1,39.965742,-75.188000,0
1,39.965509,-75.187781,0
1,39.964473,-75.186911,0
1,39.964218,-75.186742,0
1,39.963950,-75.186609,0
1,39.963673,-75.186511,0
1,39.963388,-75.186453,0
1,39.963204,-75.186434,0
1,39.962478,-75.186399,0
1,39.962190,-75.186405,0
1,39.961905,-75.186450,0
1,39.961851,-75.186464,0
1,39.958609,-75.187280,0
1,39.958444,-75.187312,0
1,39.958283,-75.187318,0
1,39.958118,-75.187303,0
1,39.957957,-75.187267,0
1,39.957800,-75.187205,0
1,39.957650,-75.187130,0
1,39.957504,-75.187029,0
1,39.957367,-75.186910,0
1,39.957241,-75.186770,0
1,39.957129,-75.186620,0
1,39.957028,-75.186451,0
1,39.956943,-75.186269,0
1,39.956869,-75.186079,0
1,39.956814,-75.185878,0
1,39.956773,-75.185674,0
1,39.956751,-75.185463,0
1,39.956745,-75.185249,0
1,39.956734,-75.184066,0
1,39.956666,-75.183214,0
1,39.956565,-75.182327,0
1,39.783547,-74.907588,24
2,40.904328,-74.665733,48
2,40.903800,-74.665557,48
2,40.903090,-74.665418,48
2,40.898574,-74.664862,48
2,40.897755,-74.664723,48
2,40.896716,-74.664411,48
2,40.895710,-74.663962,48
2,40.895239,-74.663713,48
2,40.894948,-74.663548,48
2,40.894428,-74.663183,48
2,40.893937,-74.662750,48
2,40.893488,-74.662252,48
2,40.893077,-74.661695,48
2,40.892715,-74.661083,48
2,40.892403,-74.660425,48
2,40.892142,-74.659730,48
2,40.891942,-74.658998,48
2,40.891800,-74.658245,48
2,40.891718,-74.657477,48
2,40.891641,-74.655559,48
2,40.892016,-74.649957,48
2,40.892534,-74.647222,48
2,40.892740,-74.646348,48
2,40.892858,-74.645851,48
2,40.896557,-74.632836,48
2,40.896587,-74.632731,48
2,40.898933,-74.624467,48
2,40.903698,-74.607820,48
2,40.904027,-74.606557,48
2,40.904608,-74.603625,48
2,40.905342,-74.598922,48
2,40.905378,-74.598636,48
2,40.905438,-74.598070,48
2,40.905466,-74.597657,48
2,40.905490,-74.597094,48
2,40.905518,-74.596405,48
2,40.905644,-74.591006,48
2,40.905619,-74.590201,48
2,40.905537,-74.589473,48
2,40.905394,-74.588759,48
2,40.905200,-74.588064,48
2,40.904948,-74.587406,48
2,40.898294,-74.571932,48
2,40.898119,-74.571552,48
2,40.897796,-74.570973,48
2,40.897426,-74.570442,48
2,40.897017,-74.569966,48
2,40.896573,-74.569547,48
2,40.896099,-74.569191,48
2,40.895601,-74.568903,48
2,40.895080,-74.568685,48
2,40.894546,-74.568539,48
2,40.888487,-74.567333,48
2,40.888465,-74.567326,48
2,40.887903,-74.567169,48
2,40.887358,-74.566937,48
2,40.886832,-74.566627,48
2,40.886336,-74.566246,48
2,40.885870,-74.565802,48
2,40.885445,-74.565293,48
2,40.884116,-74.563542,48
2,40.883875,-74.563192,48
2,40.883637,-74.562765,48
2,40.883431,-74.562310,48
2,40.883264,-74.561828,48
2,40.883135,-74.561325,48
2,40.883047,-74.560807,48
2,40.883001,-74.560282,48
2,40.882995,-74.559753,48
2,40.883034,-74.559224,48
2,40.883409,-74.555887,48
2,40.883417,-74.555811,48
2,40.884555,-74.545656,48
2,40.884609,-74.544902,48
2,40.884604,-74.544145,48
2,40.884538,-74.543391,48
2,40.884415,-74.542652,48
2,40.884231,-74.541936,48
2,40.883993,-74.541248,48
2,40.883700,-74.540594,48
2,40.883686,-74.540565,48
2,40.879836,-74.532993,48
2,40.879545,-74.532339,48
2,40.879310,-74.531651,48
2,40.879129,-74.530931,48
2,40.879006,-74.530192,48
2,40.878943,-74.529439,48
2,40.878940,-74.528681,48
2,40.878995,-74.527927,48
2,40.879112,-74.527187,48
2,40.880600,-74.519709,48
2,40.880707,-74.519005,48
2,40.880759,-74.518288,48
2,40.880754,-74.517570,48
2,40.880691,-74.516856,48
2,40.880570,-74.516154,48
2,40.880398,-74.515474,48
2,40.880170,-74.514819,48
2,40.879893,-74.514197,48
2,40.879567,-74.513619,48
2,40.879197,-74.513092,48
2,40.879154,-74.513034,48
2,40.878630,-74.512374,48
2,40.878334,-74.511963,48
2,40.878074,-74.511511,48
2,40.877849,-74.511023,48
2,40.877666,-74.510513,48
2,40.877523,-74.509974,48
2,40.877424,-74.509424,48
2,40.877370,-74.508859,48
2,40.877359,-74.508294,48
2,40.877394,-74.507724,48
2,40.877477,-74.507169,48
2,40.877600,-74.506625,48
2,40.877767,-74.506102,48
2,40.877972,-74.505604,48
2,40.878219,-74.505135,48
2,40.878342,-74.504935,48
2,40.881532,-74.500005,48
2,40.882031,-74.499151,48
