route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id
1,1,1,"30TH ST. PHL.",0,"4660",1
1,1,2,"30TH ST. PHL.",0,"4662",2
1,1,3,"30TH ST. PHL.",0,"4664",3
1,1,4,"30TH ST. PHL.",0,"4668",4
1,1,5,"30TH ST. PHL.",0,"4670",5
1,1,6,"30TH ST. PHL.",0,"4674",6
1,1,7,"30TH ST. PHL.",0,"4678",7
1,1,8,"30TH ST. PHL.",0,"4680",8
1,1,9,"30TH ST. PHL.",0,"4682",9
1,1,10,"30TH ST. PHL.",0,"4684",10
1,1,11,"30TH ST. PHL.",0,"4688",11
1,1,12,"30TH ST. PHL.",0,"4692",12
1,2,13,"30TH ST. PHL.",0,"4608",13
1,2,14,"30TH ST. PHL.",0,"4610",14
1,2,15,"30TH ST. PHL.",0,"4612",15
1,2,16,"30TH ST. PHL.",0,"4616",16
1,2,17,"30TH ST. PHL.",0,"4620",17
1,2,18,"30TH ST. PHL.",0,"4624",18
1,2,19,"30TH ST. PHL.",0,"4628",19
1,2,20,"30TH ST. PHL.",0,"4630",20
1,2,21,"30TH ST. PHL.",0,"4632",21
1,2,22,"30TH ST. PHL.",0,"4634",22
1,2,23,"30TH ST. PHL.",0,"4638",23
1,2,24,"30TH ST. PHL.",0,"4642",24
1,2,25,"ATLANTIC CITY",1,"4651",25
1,3,26,"ATLANTIC CITY",1,"4697",26
1,1,27,"ATLANTIC CITY",1,"4661",27
1,1,28,"ATLANTIC CITY",1,"4669",28
1,1,29,"ATLANTIC CITY",1,"4671",29
1,1,30,"ATLANTIC CITY",1,"4673",30
1,1,31,"ATLANTIC CITY",1,"4677",31
1,1,32,"ATLANTIC CITY",1,"4679",32
1,1,33,"ATLANTIC CITY",1,"4683",33
1,1,34,"ATLANTIC CITY",1,"4685",34
1,1,35,"ATLANTIC CITY",1,"4687",35
1,1,36,"ATLANTIC CITY",1,"4689",36
1,1,37,"ATLANTIC CITY",1,"4693",37
1,2,38,"ATLANTIC CITY",1,"4613",38
1,2,39,"ATLANTIC CITY",1,"4615",39
1,2,40,"ATLANTIC CITY",1,"4617",40
1,2,41,"ATLANTIC CITY",1,"4623",41
1,2,42,"ATLANTIC CITY",1,"4627",42
1,2,43,"ATLANTIC CITY",1,"4631",43
1,2,44,"ATLANTIC CITY",1,"4633",44
1,2,45,"ATLANTIC CITY",1,"4635",45
1,2,46,"ATLANTIC CITY",1,"4639",46
1,2,47,"ATLANTIC CITY",1,"4641",47
1,2,48,"ATLANTIC CITY",1,"4643",48
2,4,49,"HOBOKEN",0,"1002",49
2,4,50,"HOBOKEN",0,"1000",50
2,4,51,"HOBOKEN",0,"1070",51
2,4,52,"HOBOKEN",0,"1006",52
2,4,53,"HOBOKEN",0,"1074",53
2,4,54,"DOVER",1,"1009",54
2,4,55,"MOUNT OLIVE",1,"1055",55
2,4,56,"DENVILLE",1,"1003",56
2,4,57,"LAKE HOPATCONG",1,"1011",57
2,4,58,"DOVER",1,"1001",58
2,4,59,"HACKETTSTOWN",1,"1079",59
2,4,60,"MOUNT OLIVE",1,"1061",60
2,4,61,"HACKETTSTOWN",1,"1085",61
2,4,62,"HACKETTSTOWN",1,"1087",62
3,3,63,"HOBOKEN",0,"0544",63
3,1,64,"HOBOKEN",0,"0530",64
3,1,65,"HOBOKEN",0,"0510",65
3,1,66,"HOBOKEN",0,"0514",66
3,1,67,"HOBOKEN",0,"0518",67
3,1,68,"HOBOKEN",0,"0522",68
3,1,69,"HOBOKEN",0,"0526",69
3,1,70,"HOBOKEN",0,"0534",70
3,1,71,"HOBOKEN",0,"0538",71
3,4,72,"HOBOKEN",0,"0262",72
3,4,73,"NEW YORK PENN STATION",0,"6210",73
3,4,74,"HOBOKEN",0,"0204",74
3,4,75,"NEW YORK PENN STATION",0,"6200",75
3,4,76,"NEW YORK PENN STATION",0,"6252",76
3,4,77,"HOBOKEN",0,"0208",77
3,4,78,"HOBOKEN",0,"0212",78
3,4,79,"NEW YORK PENN STATION",0,"6206",79
3,4,80,"NEW YORK PENN STATION",0,"6214",80
3,4,81,"NEW YORK PENN STATION",0,"6278",81
3,4,82,"NEW YORK PENN STATION",0,"6280",82
3,4,83,"NEW YORK PENN STATION",0,"6202",83
3,4,84,"NEW YORK PENN STATION",0,"6204",84
3,4,85,"NEW YORK PENN STATION",0,"6216",85
3,4,86,"NEW YORK PENN STATION",0,"6222",86
3,4,87,"NEW YORK PENN STATION",0,"6226",87
3,4,88,"NEW YORK PENN STATION",0,"6230",88
3,4,89,"NEW YORK PENN STATION",0,"6234",89
3,4,90,"NEW YORK PENN STATION",0,"6238",90
3,4,91,"NEW YORK PENN STATION",0,"6242",91
3,4,92,"NEW YORK PENN STATION",0,"6258",92
3,4,93,"NEW YORK PENN STATION",0,"6270",93
3,4,94,"NEW YORK PENN STATION",0,"6274",94
3,2,95,"HOBOKEN",0,"0264",95
3,2,96,"NEW YORK PENN STATION",0,"6246",96
3,4,97,"MSU",1,"6201",97
3,3,98,"BAY STREET",1,"0509",98
3,1,99,"BAY STREET",1,"0513",99
3,1,100,"BAY STREET",1,"0515",100
3,1,101,"BAY STREET",1,"0519",101
3,1,102,"BAY STREET",1,"0523",102
3,1,103,"BAY STREET",1,"0527",103
3,1,104,"BAY STREET",1,"0531",104
3,1,105,"BAY STREET",1,"0535",105
3,1,106,"BAY STREET",1,"0539",106
3,1,107,"BAY STREET",1,"0545",107
3,4,108,"MSU",1,"6263",108
3,4,109,"MSU",1,"6213",109
